loan_amount,interest_rate,term_months,annual_income,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_util,mort_acc,sub_grade,purpose,home_ownership,employment_length,verification_status,default
10000,17.86,36,44000.0,20.92,0.0,2.0,15.0,1.0,15.9,3.0,D5,debt_consolidation,MORTGAGE,10+ years,Verified,0
14425,20.2,60,49000.0,11.09,0.0,0.0,7.0,0.0,81.7,0.0,D5,credit_card,RENT,10+ years,Source Verified,0
24075,19.53,36,133000.0,23.44,0.0,0.0,13.0,0.0,46.7,1.0,D5,house,MORTGAGE,4 years,Not Verified,0
12225,17.86,36,60000.0,17.84,0.0,1.0,8.0,0.0,71.9,0.0,D5,debt_consolidation,RENT,5 years,Source Verified,0
9000,19.53,36,43481.0,30.55,0.0,0.0,17.0,0.0,76.9,0.0,D5,debt_consolidation,MORTGAGE,< 1 year,Verified,0
21000,19.72,36,168000.0,4.38,0.0,2.0,11.0,0.0,47.8,1.0,D5,small_business,RENT,10+ years,Source Verified,0
24875,21.45,36,50000.0,29.97,0.0,1.0,4.0,0.0,90.6,0.0,D5,debt_consolidation,RENT,10+ years,Verified,0
27575,18.24,60,60000.0,16.4,1.0,1.0,20.0,0.0,50.3,3.0,D5,debt_consolidation,MORTGAGE,10+ years,Source Verified,0
10000,21.49,36,100000.0,22.1,0.0,2.0,10.0,0.0,52.4,2.0,D5,debt_consolidation,OWN,6 years,Verified,0
5400,19.47,36,33000.0,21.85,0.0,0.0,9.0,1.0,62.5,3.0,D5,debt_consolidation,RENT,4 years,Source Verified,1
16175,19.99,36,50000.0,37.61,0.0,1.0,12.0,6.0,36.5,1.0,D5,debt_consolidation,RENT,5 years,Not Verified,0
35000,21.85,60,105000.0,35.79,0.0,3.0,19.0,0.0,26.2,5.0,D5,debt_consolidation,OWN,7 years,Verified,0
12000,18.24,36,100000.0,18.01,0.0,0.0,8.0,0.0,85.3,0.0,D5,debt_consolidation,RENT,< 1 year,Not Verified,0
10000,21.49,60,60000.0,18.64,0.0,1.0,14.0,0.0,25.4,0.0,D5,debt_consolidation,RENT,2 years,Not Verified,0
7500,21.49,36,37000.0,31.47,0.0,1.0,9.0,0.0,50.4,2.0,D5,debt_consolidation,MORTGAGE,10+ years,Source Verified,0
10325,19.99,36,74000.0,16.3,2.0,0.0,4.0,0.0,83.2,3.0,D5,debt_consolidation,MORTGAGE,10+ years,Not Verified,0
6000,19.53,36,43000.0,26.79,0.0,1.0,20.0,0.0,69.2,0.0,D5,debt_consolidation,RENT,10+ years,Source Verified,0
30000,21.45,60,80000.0,21.95,0.0,0.0,8.0,0.0,73.9,3.0,D5,debt_consolidation,RENT,10+ years,Source Verified,0
35000,19.72,60,96300.0,15.35,0.0,0.0,10.0,0.0,76.6,6.0,D5,credit_card,MORTGAGE,10+ years,Verified,0
35000,19.72,60,110000.0,13.49,0.0,0.0,9.0,0.0,17.2,1.0,D5,debt_consolidation,RENT,2 years,Verified,1
12000,19.47,60,80000.0,10.62,1.0,0.0,8.0,0.0,30.3,1.0,D5,debt_consolidation,MORTGAGE,< 1 year,Not Verified,1
35000,17.86,60,130000.0,22.74,0.0,0.0,12.0,0.0,49.8,1.0,D5,debt_consolidation,MORTGAGE,5 years,Verified,1
9500,18.24,36,34000.0,7.48,0.0,0.0,10.0,1.0,52.5,0.0,D5,debt_consolidation,OWN,< 1 year,Not Verified,0
18000,20.2,60,40000.0,23.43,0.0,0.0,12.0,1.0,90.2,0.0,D5,debt_consolidation,RENT,8 years,Verified,0
20000,21.45,60,40000.0,18.51,0.0,0.0,8.0,0.0,43.4,0.0,D5,house,RENT,10+ years,Source Verified,0
19075,17.86,36,55000.0,27.69,2.0,1.0,9.0,0.0,53.3,0.0,D5,debt_consolidation,RENT,9 years,Source Verified,0
15000,17.86,60,41000.0,16.98,0.0,0.0,8.0,0.0,62.6,0.0,D5,debt_consolidation,RENT,7 years,Verified,0
35000,19.47,36,190000.0,5.68,1.0,1.0,20.0,0.0,30.7,0.0,D5,debt_consolidation,RENT,4 years,Source Verified,0
23425,17.86,36,115000.0,9.79,1.0,3.0,22.0,2.0,53.0,2.0,D5,debt_consolidation,MORTGAGE,10+ years,Verified,1
20000,19.72,60,120000.0,13.23,0.0,1.0,21.0,0.0,70.8,1.0,D5,debt_consolidation,MORTGAGE,9 years,Verified,0
13200,19.47,60,65847.0,5.01,3.0,0.0,15.0,1.0,24.7,0.0,D5,other,OWN,3 years,Not Verified,1
24000,16.32,60,132000.0,12.67,0.0,1.0,8.0,1.0,41.6,0.0,D5,small_business,MORTGAGE,3 years,Verified,1
35000,17.86,60,81000.0,10.89,1.0,0.0,14.0,0.0,72.2,2.0,D5,debt_consolidation,MORTGAGE,10+ years,Verified,0
10000,19.53,60,50000.0,30.75,0.0,2.0,21.0,1.0,39.9,1.0,D5,credit_card,MORTGAGE,2 years,Not Verified,1
13000,19.72,60,37890.0,24.1,0.0,0.0,11.0,0.0,70.9,2.0,D5,credit_card,MORTGAGE,5 years,Verified,0
10000,21.45,36,65000.0,24.45,0.0,0.0,10.0,0.0,61.5,1.0,D5,debt_consolidation,RENT,2 years,Source Verified,0
20950,19.72,60,65000.0,15.9,1.0,0.0,20.0,0.0,49.8,1.0,D5,debt_consolidation,MORTGAGE,7 years,Verified,0
35000,21.45,60,165000.0,20.06,0.0,0.0,15.0,0.0,96.0,5.0,D5,debt_consolidation,MORTGAGE,2 years,Verified,0
35000,17.86,36,197000.0,21.68,0.0,3.0,33.0,0.0,32.1,1.0,D5,debt_consolidation,MORTGAGE,7 years,Source Verified,0
6000,19.53,36,80000.0,21.13,1.0,0.0,17.0,0.0,43.0,0.0,D5,medical,RENT,3 years,Verified,1
21000,19.53,60,74000.0,30.75,0.0,1.0,13.0,0.0,57.8,0.0,D5,debt_consolidation,RENT,5 years,Verified,1
11900,17.86,36,35000.0,24.31,1.0,2.0,6.0,0.0,25.4,0.0,D5,major_purchase,RENT,5 years,Source Verified,0
22125,17.86,60,63000.0,17.02,0.0,1.0,12.0,0.0,72.9,3.0,D5,credit_card,RENT,10+ years,Source Verified,1
9400,21.45,36,47596.0,6.63,0.0,0.0,6.0,0.0,87.0,2.0,D5,home_improvement,MORTGAGE,10+ years,Not Verified,1
20000,21.49,60,50000.0,27.53,0.0,3.0,18.0,0.0,79.0,1.0,D5,debt_consolidation,MORTGAGE,10+ years,Verified,1
29650,17.86,36,65000.0,17.42,0.0,0.0,26.0,1.0,33.4,1.0,D5,debt_consolidation,MORTGAGE,10+ years,Source Verified,0
10200,17.86,60,57500.0,26.4,0.0,2.0,28.0,0.0,35.0,0.0,D5,debt_consolidation,RENT,3 years,Source Verified,1
13000,16.0,36,91000.0,23.89,0.0,2.0,12.0,0.0,80.8,0.0,D5,debt_consolidation,MORTGAGE,4 years,Not Verified,0
3050,17.86,36,28000.0,27.18,1.0,0.0,3.0,1.0,36.6,0.0,D5,other,MORTGAGE,Unknown,Source Verified,0
15000,18.24,60,48500.0,8.14,0.0,0.0,13.0,0.0,57.6,1.0,D5,debt_consolidation,MORTGAGE,5 years,Verified,1
8000,19.47,36,40000.0,15.21,0.0,2.0,5.0,2.0,51.7,0.0,D5,other,RENT,4 years,Source Verified,0
17500,21.49,60,62000.0,26.29,0.0,1.0,21.0,1.0,26.0,0.0,D5,debt_consolidation,RENT,5 years,Source Verified,0
18000,18.24,60,50000.0,28.65,0.0,3.0,12.0,0.0,70.9,2.0,D5,debt_consolidation,MORTGAGE,10+ years,Source Verified,0
15000,17.86,60,67000.0,29.75,0.0,1.0,24.0,0.0,48.6,1.0,D5,car,MORTGAGE,4 years,Verified,0
30000,19.72,60,72000.0,19.67,0.0,0.0,9.0,0.0,79.7,0.0,D5,debt_consolidation,OWN,10+ years,Verified,0
14350,18.24,60,40000.0,6.82,0.0,1.0,10.0,0.0,36.8,1.0,D5,debt_consolidation,MORTGAGE,10+ years,Verified,1
5825,18.24,36,28800.0,21.42,0.0,1.0,3.0,0.0,97.3,0.0,D5,debt_consolidation,RENT,Unknown,Verified,0
10000,17.86,60,31200.0,23.17,1.0,2.0,13.0,0.0,21.4,3.0,D5,debt_consolidation,RENT,4 years,Source Verified,1
13700,18.24,36,40400.0,29.62,0.0,2.0,10.0,0.0,66.4,0.0,D5,debt_consolidation,RENT,Unknown,Verified,1
25000,17.86,60,85000.0,8.19,0.0,0.0,9.0,2.0,9.5,3.0,D5,debt_consolidation,MORTGAGE,7 years,Not Verified,0
32625,18.24,60,71000.0,31.56,0.0,0.0,12.0,0.0,67.6,7.0,D5,debt_consolidation,MORTGAGE,10+ years,Verified,0
23150,17.86,60,66400.0,32.73,3.0,1.0,22.0,0.0,65.6,2.0,D5,debt_consolidation,MORTGAGE,10+ years,Source Verified,0
14000,21.45,60,60000.0,17.89,0.0,0.0,14.0,1.0,52.1,1.0,D5,debt_consolidation,MORTGAGE,8 years,Source Verified,0
16000,18.25,60,140000.0,18.55,0.0,2.0,10.0,0.0,74.5,0.0,D5,debt_consolidation,RENT,10+ years,Source Verified,0
12000,21.45,36,62000.0,30.14,4.0,2.0,12.0,1.0,3.0,4.0,D5,other,OWN,3 years,Verified,1
12300,17.86,60,31533.0,28.97,0.0,1.0,17.0,0.0,49.9,0.0,D5,debt_consolidation,OWN,2 years,Source Verified,1
20000,19.99,60,66000.0,26.62,0.0,1.0,15.0,0.0,30.0,0.0,D5,debt_consolidation,OWN,Unknown,Verified,1
18175,17.86,60,45500.0,28.49,0.0,0.0,8.0,0.0,91.1,0.0,D5,debt_consolidation,RENT,< 1 year,Source Verified,1
11000,21.49,36,35000.0,9.4,0.0,2.0,5.0,0.0,12.6,0.0,D5,other,RENT,3 years,Verified,0
30925,17.86,36,85000.0,9.29,5.0,3.0,14.0,0.0,56.5,9.0,D5,credit_card,OWN,10+ years,Verified,0
24500,17.86,60,49000.0,10.02,0.0,1.0,13.0,0.0,23.5,2.0,D5,credit_card,MORTGAGE,1 year,Not Verified,0
35000,18.24,60,96000.0,19.98,0.0,1.0,24.0,0.0,44.2,2.0,D5,debt_consolidation,MORTGAGE,Unknown,Verified,1
15000,17.86,36,120000.0,12.42,0.0,0.0,6.0,0.0,65.4,0.0,D5,moving,RENT,< 1 year,Verified,0
15000,17.86,60,75000.0,18.22,0.0,2.0,9.0,1.0,69.4,0.0,D5,small_business,RENT,Unknown,Source Verified,1
4400,17.86,36,62000.0,3.58,2.0,0.0,7.0,0.0,75.8,2.0,D5,debt_consolidation,MORTGAGE,6 years,Source Verified,0
1500,19.97,36,36274.0,28.76,0.0,1.0,5.0,0.0,82.4,0.0,D5,debt_consolidation,RENT,10+ years,Not Verified,0
35000,19.72,36,115701.0,17.52,1.0,1.0,13.0,0.0,88.3,1.0,D5,debt_consolidation,MORTGAGE,10+ years,Verified,0
6725,17.86,36,20000.0,15.55,0.0,0.0,6.0,0.0,69.1,1.0,D5,other,RENT,< 1 year,Verified,0
15000,17.86,36,48000.0,29.25,1.0,0.0,9.0,1.0,52.9,7.0,D5,other,RENT,3 years,Verified,0
3050,19.53,36,54000.0,40.84,1.0,0.0,12.0,0.0,87.2,3.0,D5,debt_consolidation,MORTGAGE,10+ years,Source Verified,0
11400,17.86,60,29000.0,14.29,0.0,0.0,14.0,0.0,23.3,0.0,D5,debt_consolidation,RENT,9 years,Source Verified,0
14700,17.86,60,32000.0,32.45,0.0,0.0,5.0,0.0,86.8,0.0,D5,credit_card,OWN,10+ years,Not Verified,1
10225,18.24,36,42000.0,18.49,1.0,1.0,9.0,2.0,57.8,4.0,D5,home_improvement,MORTGAGE,10+ years,Source Verified,0
1500,17.86,36,40000.0,27.06,1.0,0.0,8.0,0.0,21.5,0.0,D5,other,RENT,3 years,Source Verified,0
5000,19.53,36,50000.0,19.4,1.0,0.0,9.0,0.0,43.3,0.0,D5,small_business,RENT,5 years,Source Verified,0
5200,20.31,36,42000.0,27.97,0.0,2.0,10.0,0.0,59.9,0.0,D5,debt_consolidation,RENT,3 years,Source Verified,0
20000,18.24,36,166705.0,33.17,0.0,0.0,26.0,0.0,86.9,4.0,D5,debt_consolidation,MORTGAGE,10+ years,Source Verified,0
10000,17.86,60,25000.0,24.77,0.0,1.0,11.0,1.0,65.0,0.0,D5,home_improvement,RENT,10+ years,Source Verified,1
16800,17.86,60,42000.0,23.79,0.0,0.0,13.0,0.0,85.6,0.0,D5,debt_consolidation,RENT,7 years,Source Verified,1
15850,19.53,36,45000.0,27.33,0.0,0.0,11.0,0.0,30.6,0.0,D5,debt_consolidation,OWN,10+ years,Not Verified,0
2800,16.0,36,33396.0,14.77,0.0,2.0,5.0,0.0,12.1,0.0,D5,medical,RENT,3 years,Verified,1
3600,17.86,36,64317.0,12.33,0.0,2.0,3.0,0.0,73.1,1.0,D5,other,RENT,Unknown,Verified,0
16600,21.45,36,60000.0,26.7,0.0,1.0,14.0,0.0,44.1,1.0,D5,credit_card,MORTGAGE,1 year,Verified,0
18000,21.45,60,110001.0,19.95,1.0,3.0,25.0,0.0,10.5,5.0,D5,home_improvement,MORTGAGE,6 years,Verified,1
22400,17.86,60,68000.0,26.16,3.0,0.0,10.0,0.0,26.3,0.0,D5,debt_consolidation,OWN,5 years,Source Verified,0
8050,17.86,36,33000.0,33.38,0.0,1.0,8.0,0.0,89.2,1.0,D5,debt_consolidation,MORTGAGE,3 years,Source Verified,0
23450,21.49,36,104000.0,27.35,0.0,1.0,12.0,0.0,54.0,1.0,D5,debt_consolidation,MORTGAGE,3 years,Source Verified,0
23000,21.49,60,50000.0,28.42,0.0,0.0,9.0,0.0,95.1,0.0,D5,debt_consolidation,RENT,5 years,Not Verified,1
13200,20.2,36,75400.0,21.47,1.0,1.0,10.0,1.0,60.7,1.0,D5,debt_consolidation,MORTGAGE,8 years,Verified,0
10000,17.86,36,167000.0,6.88,0.0,1.0,8.0,0.0,59.8,4.0,D5,debt_consolidation,MORTGAGE,10+ years,Verified,1
18000,19.72,60,60000.0,10.52,0.0,0.0,10.0,0.0,82.9,0.0,D5,debt_consolidation,RENT,4 years,Source Verified,0
3425,17.86,36,35000.0,1.71,0.0,4.0,4.0,2.0,38.5,0.0,D5,debt_consolidation,MORTGAGE,< 1 year,Verified,0
8000,21.49,36,47000.0,4.62,0.0,1.0,4.0,0.0,58.8,0.0,D5,debt_consolidation,RENT,10+ years,Source Verified,1
29050,18.24,60,117000.0,9.85,0.0,0.0,13.0,0.0,70.8,4.0,D5,credit_card,MORTGAGE,3 years,Source Verified,1
10800,17.86,60,30000.0,30.2,0.0,0.0,26.0,0.0,62.9,0.0,D5,debt_consolidation,RENT,< 1 year,Verified,1
13825,17.86,36,53000.0,31.5,0.0,0.0,13.0,0.0,67.4,3.0,D5,debt_consolidation,MORTGAGE,4 years,Source Verified,0
20000,19.53,60,125000.0,16.2,6.0,1.0,15.0,0.0,70.7,3.0,D5,debt_consolidation,MORTGAGE,2 years,Not Verified,0
35000,17.86,60,99400.0,5.12,0.0,0.0,10.0,0.0,39.6,3.0,D5,debt_consolidation,MORTGAGE,10+ years,Verified,0
17850,17.86,60,63000.0,30.23,1.0,1.0,16.0,1.0,61.1,0.0,D5,debt_consolidation,RENT,10+ years,Source Verified,0
10100,18.24,60,42000.0,29.05,0.0,1.0,6.0,0.0,63.8,0.0,D5,credit_card,RENT,8 years,Source Verified,0
3000,21.49,36,46000.0,29.77,0.0,1.0,14.0,0.0,47.1,0.0,D5,debt_consolidation,MORTGAGE,3 years,Verified,0
13175,18.24,36,67000.0,8.6,0.0,1.0,11.0,0.0,60.3,0.0,D5,debt_consolidation,RENT,10+ years,Verified,0
14000,21.49,60,65000.0,25.74,0.0,0.0,8.0,0.0,89.0,0.0,D5,debt_consolidation,RENT,10+ years,Verified,1
10800,19.47,60,40000.0,19.59,0.0,0.0,7.0,0.0,62.5,0.0,D5,major_purchase,RENT,1 year,Verified,0
21200,21.49,36,70000.0,26.9,0.0,0.0,13.0,1.0,58.1,4.0,D5,debt_consolidation,MORTGAGE,10+ years,Verified,0
15000,20.31,36,100000.0,17.95,0.0,1.0,20.0,0.0,75.1,2.0,D5,credit_card,MORTGAGE,3 years,Not Verified,0
18000,21.45,60,75000.0,33.6,0.0,0.0,27.0,0.0,32.2,0.0,D5,debt_consolidation,RENT,10+ years,Source Verified,1
19550,19.72,60,50310.0,19.73,3.0,1.0,13.0,0.0,55.3,0.0,D5,debt_consolidation,RENT,7 years,Verified,1
30300,17.86,36,99000.0,11.43,0.0,0.0,17.0,0.0,82.5,0.0,D5,debt_consolidation,MORTGAGE,4 years,Verified,1
7000,19.72,60,55000.0,16.6,1.0,1.0,12.0,0.0,60.1,0.0,D5,debt_consolidation,RENT,1 year,Verified,0
18000,17.86,60,50000.0,14.4,0.0,0.0,13.0,1.0,50.6,2.0,D5,debt_consolidation,MORTGAGE,Unknown,Verified,1
15000,18.24,60,42500.0,21.55,1.0,0.0,12.0,1.0,41.4,2.0,D5,debt_consolidation,MORTGAGE,< 1 year,Source Verified,1
11125,19.72,60,33280.0,14.78,0.0,0.0,5.0,0.0,74.9,0.0,D5,debt_consolidation,RENT,< 1 year,Verified,0
24450,17.86,60,58450.0,33.59,0.0,1.0,14.0,0.0,66.7,0.0,D5,debt_consolidation,RENT,1 year,Verified,0
10475,19.47,36,60000.0,7.84,0.0,0.0,6.0,1.0,41.4,1.0,D5,debt_consolidation,MORTGAGE,10+ years,Not Verified,0
4275,18.24,36,90000.0,1.23,0.0,1.0,4.0,1.0,22.8,3.0,D5,other,RENT,2 years,Not Verified,0
6000,19.47,36,65000.0,6.37,0.0,2.0,8.0,0.0,64.3,3.0,D5,vacation,MORTGAGE,5 years,Source Verified,1
3250,17.86,36,20375.0,37.68,0.0,0.0,9.0,0.0,97.1,0.0,D5,debt_consolidation,RENT,Unknown,Verified,0
32000,19.72,60,82000.0,29.93,3.0,0.0,21.0,0.0,73.0,0.0,D5,debt_consolidation,RENT,9 years,Verified,1
22875,18.24,36,52000.0,20.03,1.0,0.0,13.0,0.0,79.0,2.0,D5,credit_card,MORTGAGE,10+ years,Verified,0
17350,17.86,36,120000.0,1.34,1.0,0.0,7.0,0.0,38.9,0.0,D5,small_business,RENT,4 years,Verified,0
10625,19.97,60,31000.0,34.57,0.0,0.0,17.0,0.0,52.4,0.0,D5,debt_consolidation,RENT,5 years,Source Verified,1
31300,19.72,60,70000.0,20.74,0.0,0.0,8.0,0.0,64.0,0.0,D5,debt_consolidation,RENT,7 years,Verified,0
22875,18.24,36,52000.0,12.85,0.0,1.0,10.0,0.0,79.6,0.0,D5,credit_card,RENT,10+ years,Verified,0
15000,17.86,60,85000.0,30.0,1.0,0.0,20.0,0.0,50.1,6.0,D5,credit_card,MORTGAGE,10+ years,Verified,1
24000,17.86,60,50000.0,36.73,2.0,0.0,9.0,0.0,88.0,4.0,D5,debt_consolidation,RENT,7 years,Source Verified,1
28000,17.86,60,82000.0,21.94,0.0,0.0,11.0,0.0,81.4,3.0,D5,debt_consolidation,MORTGAGE,4 years,Source Verified,0
12000,17.86,60,97000.0,17.6,2.0,0.0,12.0,0.0,62.6,0.0,D5,debt_consolidation,RENT,10+ years,Verified,0
35000,17.86,36,90000.0,26.81,1.0,0.0,23.0,1.0,40.5,4.0,D5,debt_consolidation,MORTGAGE,10+ years,Source Verified,0
30000,18.24,60,80000.0,23.16,0.0,0.0,7.0,0.0,79.3,0.0,D5,debt_consolidation,RENT,8 years,Source Verified,1
24000,21.45,36,48000.0,6.86,0.0,1.0,17.0,0.0,32.2,0.0,D5,major_purchase,MORTGAGE,3 years,Not Verified,0
26100,17.86,60,56690.0,28.11,0.0,0.0,21.0,0.0,84.0,2.0,D5,debt_consolidation,MORTGAGE,10+ years,Verified,0
7925,21.49,36,23364.18,27.58,0.0,1.0,7.0,0.0,37.1,0.0,D5,debt_consolidation,RENT,3 years,Source Verified,0
23500,19.72,60,60000.0,25.2,0.0,1.0,12.0,0.0,73.9,3.0,D5,debt_consolidation,MORTGAGE,4 years,Verified,1
15000,18.24,60,53000.0,31.07,0.0,4.0,15.0,0.0,69.3,3.0,D5,debt_consolidation,MORTGAGE,10+ years,Source Verified,1
35000,20.2,60,90000.0,19.73,0.0,2.0,7.0,0.0,94.1,3.0,D5,debt_consolidation,MORTGAGE,9 years,Verified,0
18000,19.47,60,50000.0,22.71,1.0,0.0,16.0,0.0,92.6,2.0,D5,debt_consolidation,MORTGAGE,9 years,Not Verified,1
11200,17.86,60,75000.0,36.51,4.0,0.0,19.0,0.0,74.3,4.0,D5,debt_consolidation,MORTGAGE,10+ years,Not Verified,0
28000,17.86,60,75000.0,38.87,1.0,0.0,24.0,1.0,77.3,0.0,D5,credit_card,RENT,< 1 year,Verified,1
35000,19.72,60,345000.0,13.57,1.0,1.0,12.0,0.0,71.5,5.0,D5,debt_consolidation,MORTGAGE,10+ years,Source Verified,1
8000,17.86,36,24000.0,31.7,0.0,0.0,9.0,0.0,75.6,2.0,D5,debt_consolidation,OWN,Unknown,Verified,1
6350,17.86,36,37000.0,35.06,0.0,0.0,11.0,0.0,84.4,4.0,D5,debt_consolidation,MORTGAGE,3 years,Not Verified,0
30000,17.86,60,60000.0,30.02,0.0,0.0,20.0,0.0,27.3,2.0,D5,debt_consolidation,MORTGAGE,< 1 year,Source Verified,0
15000,17.86,60,85000.0,15.39,1.0,1.0,8.0,0.0,57.4,1.0,D5,debt_consolidation,MORTGAGE,10+ years,Not Verified,0
17600,21.45,36,69000.0,20.49,1.0,0.0,13.0,0.0,59.2,1.0,D5,debt_consolidation,MORTGAGE,10+ years,Source Verified,0
3325,17.86,36,80000.0,6.93,0.0,2.0,7.0,0.0,29.0,0.0,D5,debt_consolidation,MORTGAGE,10+ years,Source Verified,0
1950,19.47,36,40000.0,26.37,0.0,0.0,6.0,0.0,64.7,4.0,D5,home_improvement,OWN,1 year,Not Verified,0
18000,17.86,36,58000.0,33.71,1.0,3.0,20.0,1.0,36.2,1.0,D5,debt_consolidation,RENT,2 years,Source Verified,1
24875,17.86,60,50000.0,33.65,0.0,0.0,10.0,0.0,71.9,2.0,D5,debt_consolidation,MORTGAGE,7 years,Source Verified,0
21575,17.86,60,64000.0,36.11,0.0,1.0,20.0,0.0,76.8,1.0,D5,credit_card,OWN,5 years,Not Verified,1
18650,18.24,36,78000.0,21.62,0.0,1.0,12.0,1.0,34.4,0.0,D5,small_business,RENT,9 years,Verified,0
16000,17.86,60,60000.0,6.32,0.0,1.0,9.0,0.0,69.8,1.0,D5,home_improvement,MORTGAGE,2 years,Verified,0
18000,17.86,36,50000.0,23.57,2.0,1.0,12.0,0.0,20.8,0.0,D5,other,OWN,1 year,Verified,0
7000,21.45,36,60000.0,22.5,0.0,0.0,4.0,0.0,48.4,2.0,D5,medical,MORTGAGE,10+ years,Verified,0
5000,22.35,36,60000.0,19.54,0.0,1.0,9.0,1.0,67.2,0.0,D5,credit_card,RENT,9 years,Source Verified,1
14725,19.53,36,62000.0,39.64,0.0,2.0,14.0,0.0,66.0,3.0,D5,debt_consolidation,MORTGAGE,5 years,Verified,0
13700,19.72,36,48800.0,16.2,0.0,1.0,13.0,0.0,86.0,0.0,D5,renewable_energy,RENT,7 years,Not Verified,0
11000,17.86,60,40000.0,8.1,0.0,2.0,9.0,0.0,83.5,0.0,D5,debt_consolidation,RENT,< 1 year,Verified,0
30000,21.45,60,154000.0,11.63,3.0,0.0,22.0,0.0,6.2,0.0,D5,other,RENT,1 year,Source Verified,1
20000,19.72,60,60000.0,17.46,0.0,2.0,10.0,0.0,43.5,0.0,D5,debt_consolidation,RENT,< 1 year,Verified,0
35000,20.31,60,104000.0,19.72,0.0,0.0,11.0,0.0,59.9,2.0,D5,debt_consolidation,MORTGAGE,10+ years,Source Verified,0
15600,19.53,60,75000.0,25.5,1.0,1.0,9.0,0.0,67.2,0.0,D5,debt_consolidation,MORTGAGE,7 years,Verified,0
18825,19.72,60,43000.0,20.82,0.0,0.0,11.0,0.0,80.3,0.0,D5,debt_consolidation,OWN,10+ years,Verified,0
10000,19.97,36,40000.0,3.93,0.0,5.0,7.0,1.0,36.2,9.0,D5,debt_consolidation,MORTGAGE,10+ years,Verified,0
30375,17.86,36,80500.0,18.78,0.0,0.0,7.0,1.0,24.0,2.0,D5,debt_consolidation,RENT,9 years,Verified,0
21175,17.86,60,53000.0,20.43,1.0,1.0,12.0,0.0,72.7,1.0,D5,debt_consolidation,MORTGAGE,7 years,Source Verified,1
15850,20.2,60,70000.0,13.38,0.0,0.0,8.0,1.0,49.2,0.0,D5,debt_consolidation,OWN,10+ years,Source Verified,1
3600,17.86,36,55000.0,17.41,0.0,0.0,8.0,0.0,29.1,0.0,D5,moving,OWN,7 years,Not Verified,0
20000,18.25,60,70000.0,13.39,1.0,0.0,12.0,0.0,67.9,0.0,D5,credit_card,MORTGAGE,5 years,Source Verified,1
9450,19.97,36,41000.0,18.21,0.0,1.0,13.0,1.0,48.9,1.0,D5,debt_consolidation,MORTGAGE,6 years,Source Verified,0
12000,19.99,60,128000.0,15.42,1.0,0.0,15.0,0.0,71.2,7.0,D5,debt_consolidation,MORTGAGE,10+ years,Not Verified,0
30000,18.24,60,80000.0,10.97,0.0,0.0,7.0,1.0,56.9,6.0,D5,debt_consolidation,MORTGAGE,< 1 year,Verified,0
3900,18.24,36,13000.0,27.52,0.0,1.0,18.0,0.0,57.0,0.0,D5,debt_consolidation,RENT,1 year,Not Verified,0
30000,17.86,60,71000.0,25.86,0.0,0.0,16.0,0.0,51.0,2.0,D5,debt_consolidation,MORTGAGE,5 years,Verified,1
18400,20.2,36,120000.0,10.33,0.0,2.0,16.0,1.0,28.4,4.0,D5,debt_consolidation,MORTGAGE,10+ years,Verified,1
30000,19.47,60,150000.0,12.29,0.0,0.0,25.0,0.0,68.4,3.0,D5,home_improvement,MORTGAGE,10+ years,Source Verified,0
