loan_id,loan_amount,interest_rate,term_months,grade,purpose,annual_income,dti_ratio,home_ownership,employment_length,default
6780,18000.0,8.18,36,B,debt_consolidation,130003.0,6.54,MORTGAGE,7 years,0
4876,25450.0,12.49,36,B,debt_consolidation,300000.0,20.96,MORTGAGE,10+ years,1
1543,12000.0,13.99,36,C,debt_consolidation,47000.0,26.33,RENT,4 years,0
200,1000.0,13.99,36,C,debt_consolidation,35000.0,8.13,RENT,8 years,0
1089,8000.0,13.99,36,C,debt_consolidation,40000.0,16.32,RENT,< 1 year,0
10597,11000.0,9.99,36,B,credit_card,28000.0,29.62,RENT,1 year,1
3190,10000.0,15.59,36,D,debt_consolidation,220000.0,33.15,MORTGAGE,10+ years,0
4486,21000.0,10.75,36,B,debt_consolidation,115000.0,12.69,RENT,Unknown,0
436,22075.0,13.33,36,C,debt_consolidation,60000.0,25.89,RENT,2 years,0
10414,21000.0,8.39,36,A,debt_consolidation,110000.0,3.95,MORTGAGE,10+ years,0
9067,25000.0,6.99,36,A,debt_consolidation,62500.0,21.16,OWN,10+ years,0
7654,35000.0,8.19,36,A,debt_consolidation,130000.0,12.88,MORTGAGE,8 years,0
9940,16000.0,23.28,60,F,debt_consolidation,36960.0,33.86,RENT,10+ years,1
6423,17000.0,9.43,36,B,debt_consolidation,82000.0,17.83,MORTGAGE,5 years,0
5388,16000.0,10.99,36,B,credit_card,75000.0,21.98,MORTGAGE,5 years,0
3729,15200.0,18.99,36,D,credit_card,80000.0,16.4,MORTGAGE,4 years,0
6038,9050.0,11.53,36,B,debt_consolidation,60000.0,27.82,MORTGAGE,10+ years,1
5863,17475.0,10.64,36,B,major_purchase,72500.0,3.99,MORTGAGE,7 years,0
8643,16000.0,6.03,36,A,credit_card,160000.0,9.4,MORTGAGE,10+ years,0
9880,10000.0,30.65,60,F,other,79992.0,5.69,OWN,9 years,1
9819,35000.0,24.11,60,F,debt_consolidation,80000.0,33.09,OWN,8 years,0
4683,15000.0,8.39,36,B,credit_card,50000.0,28.61,RENT,1 year,1
6063,32000.0,10.42,36,B,debt_consolidation,125000.0,16.25,MORTGAGE,10+ years,0
1298,21600.0,13.49,60,C,debt_consolidation,84000.0,14.67,MORTGAGE,10+ years,0
6526,16000.0,9.17,36,B,debt_consolidation,160000.0,13.01,MORTGAGE,10+ years,0
9827,16000.0,24.5,60,F,debt_consolidation,80000.0,8.21,MORTGAGE,10+ years,1
7379,24000.0,6.03,36,A,debt_consolidation,149900.0,10.45,MORTGAGE,2 years,0
10359,35000.0,25.83,60,G,credit_card,80000.0,23.48,MORTGAGE,10+ years,1
1658,7175.0,12.74,36,C,major_purchase,41458.32,24.7,MORTGAGE,Unknown,0
9930,22600.0,23.83,60,F,car,63000.0,20.61,RENT,3 years,1
10914,9600.0,15.59,36,C,debt_consolidation,65000.0,10.45,OWN,1 year,0
6998,5000.0,11.22,36,B,major_purchase,60000.0,29.76,RENT,10+ years,0
1875,15000.0,11.99,36,C,home_improvement,48000.0,6.18,MORTGAGE,5 years,0
427,12000.0,12.29,36,C,debt_consolidation,52000.0,30.68,MORTGAGE,2 years,0
1079,10000.0,12.74,36,C,other,107720.0,30.51,MORTGAGE,10+ years,0
687,10000.0,15.49,36,C,credit_card,120000.0,28.64,MORTGAGE,10+ years,0
1243,10800.0,15.31,60,C,debt_consolidation,42000.0,7.77,MORTGAGE,10+ years,0
3432,11500.0,16.99,36,D,debt_consolidation,38400.0,15.22,OWN,2 years,0
3409,5000.0,20.31,36,D,moving,53976.0,10.83,RENT,Unknown,0
1110,3600.0,11.99,36,C,other,70000.0,22.81,RENT,2 years,0
1647,5175.0,14.33,36,C,credit_card,31000.0,23.15,OWN,6 years,0
2361,6000.0,13.33,36,C,debt_consolidation,75000.0,15.82,MORTGAGE,8 years,0
2759,16000.0,14.64,36,C,other,70000.0,0.0,MORTGAGE,10+ years,0
10088,18000.0,8.24,36,B,debt_consolidation,55000.0,9.67,MORTGAGE,< 1 year,0
3254,20000.0,16.99,36,D,small_business,57000.0,25.18,RENT,2 years,0
6005,5000.0,10.75,36,B,debt_consolidation,40000.0,16.39,RENT,2 years,1
4062,5025.0,18.99,36,D,debt_consolidation,36000.0,20.93,OWN,Unknown,1
2580,16000.0,17.27,60,C,home_improvement,56000.0,17.38,MORTGAGE,4 years,0
2983,10000.0,18.75,36,D,credit_card,43000.0,29.27,MORTGAGE,10+ years,0
2751,35000.0,16.29,36,C,debt_consolidation,128000.0,15.53,MORTGAGE,< 1 year,0
6665,12000.0,11.99,36,B,debt_consolidation,65445.0,12.07,RENT,10+ years,1
9941,13250.0,24.08,60,F,home_improvement,108000.0,10.68,MORTGAGE,1 year,0
8694,19000.0,7.9,36,A,credit_card,85000.0,15.38,MORTGAGE,10+ years,0
6743,40000.0,10.42,60,B,medical,105240.0,18.91,MORTGAGE,9 years,0
7049,25200.0,9.99,60,B,debt_consolidation,69000.0,12.31,RENT,4 years,0
4816,3200.0,11.22,36,B,debt_consolidation,74000.0,4.61,MORTGAGE,8 years,0
8117,15000.0,6.39,36,A,credit_card,120000.0,3.92,RENT,10+ years,0
811,2400.0,14.49,36,C,other,35000.0,28.53,MORTGAGE,10+ years,0
3555,5500.0,19.99,36,D,medical,43000.0,19.96,OWN,9 years,1
10055,21000.0,8.9,36,A,debt_consolidation,75000.0,20.91,MORTGAGE,1 year,0
8777,8000.0,5.32,36,A,debt_consolidation,60000.0,20.8,RENT,< 1 year,0
2782,16000.0,14.49,36,C,debt_consolidation,49920.0,20.65,MORTGAGE,2 years,1
7647,16000.0,7.89,36,A,debt_consolidation,160000.0,15.5,RENT,10+ years,0
6367,20000.0,10.42,36,B,credit_card,75000.0,8.75,RENT,10+ years,0
1629,5000.0,13.59,36,C,medical,45000.0,1.84,MORTGAGE,< 1 year,0
5500,10400.0,13.53,60,B,debt_consolidation,92000.0,7.17,MORTGAGE,10+ years,0
769,20675.0,15.8,60,C,debt_consolidation,114000.0,25.33,OWN,10+ years,1
9944,14400.0,30.94,60,G,debt_consolidation,65000.0,29.14,RENT,7 years,0
10005,6950.0,17.76,36,D,credit_card,35000.0,29.68,RENT,6 years,0
9081,16000.0,6.03,36,A,debt_consolidation,55000.0,18.41,MORTGAGE,< 1 year,1
4382,11400.0,8.99,36,B,debt_consolidation,45000.0,23.31,RENT,4 years,1
2890,40000.0,16.99,36,D,debt_consolidation,125000.0,24.16,RENT,1 year,0
6933,2500.0,9.16,36,B,vacation,90000.0,26.36,OWN,10+ years,0
6436,6000.0,11.48,36,B,debt_consolidation,44000.0,49.17,RENT,4 years,0
3444,8000.0,21.45,36,D,debt_consolidation,32000.0,23.63,RENT,1 year,1
2151,6000.0,12.62,36,C,debt_consolidation,30000.0,12.52,OWN,Unknown,0
1256,1500.0,13.33,36,C,medical,40000.0,25.62,MORTGAGE,6 years,0
5258,20000.0,11.49,36,B,credit_card,72800.0,17.62,MORTGAGE,8 years,0
5252,12000.0,9.44,36,B,debt_consolidation,75000.0,11.41,RENT,2 years,1
9505,30000.0,20.99,60,E,small_business,85000.0,21.22,RENT,9 years,1
5127,25000.0,8.24,36,B,debt_consolidation,115000.0,16.9,RENT,< 1 year,0
3467,22250.0,18.85,36,D,home_improvement,78068.12,24.32,MORTGAGE,10+ years,0
10086,21600.0,16.99,36,D,debt_consolidation,62000.0,17.32,MORTGAGE,Unknown,1
10853,6000.0,12.29,36,C,vacation,30000.0,6.58,OWN,1 year,0
10360,18000.0,11.99,60,B,debt_consolidation,50000.0,18.19,RENT,10+ years,0
11114,7000.0,9.16,36,B,debt_consolidation,62000.0,19.38,RENT,3 years,0
3664,12000.0,17.56,36,D,medical,90000.0,25.28,MORTGAGE,< 1 year,1
2852,7200.0,13.67,36,C,credit_card,36000.0,32.77,RENT,8 years,1
7947,40000.0,6.97,36,A,home_improvement,180000.0,5.49,MORTGAGE,< 1 year,0
1151,3200.0,12.99,36,C,medical,65000.0,1.86,RENT,10+ years,0
6126,14000.0,11.99,36,B,debt_consolidation,100000.0,24.75,MORTGAGE,9 years,1
10989,30000.0,23.99,60,F,debt_consolidation,100000.0,18.73,RENT,3 years,0
9693,6500.0,18.54,36,E,debt_consolidation,22800.0,15.69,RENT,4 years,0
4733,19425.0,14.09,36,B,debt_consolidation,44000.0,15.79,MORTGAGE,10+ years,1
6938,12400.0,9.17,36,B,credit_card,54412.0,4.87,MORTGAGE,3 years,0
1493,3000.0,13.49,36,C,debt_consolidation,36000.0,19.0,RENT,2 years,0
4054,20050.0,18.92,60,D,debt_consolidation,60000.0,28.86,MORTGAGE,10+ years,0
10809,4000.0,9.17,36,B,home_improvement,97000.0,18.85,MORTGAGE,< 1 year,0
2037,24000.0,12.29,36,C,debt_consolidation,190000.0,12.3,RENT,1 year,0
2900,19800.0,16.99,36,D,debt_consolidation,90000.0,21.08,RENT,1 year,1
6447,8750.0,10.49,36,B,debt_consolidation,51000.0,15.32,RENT,8 years,0
9390,12000.0,19.19,60,E,debt_consolidation,67000.0,35.25,RENT,4 years,1
8629,30000.0,6.68,36,A,debt_consolidation,100000.0,25.27,MORTGAGE,< 1 year,0
9203,20675.0,22.7,60,E,debt_consolidation,105000.0,4.17,MORTGAGE,5 years,1
3269,20000.0,15.61,60,D,debt_consolidation,86000.0,36.17,MORTGAGE,8 years,1
9994,10000.0,30.84,60,G,home_improvement,80000.0,13.79,MORTGAGE,10+ years,0
9330,9000.0,18.64,36,E,debt_consolidation,70000.0,6.91,MORTGAGE,6 years,0
4778,2000.0,14.09,36,B,debt_consolidation,33000.0,15.02,RENT,5 years,0
9367,9575.0,18.54,36,E,debt_consolidation,24000.0,15.15,RENT,10+ years,0
2405,8000.0,12.69,36,C,debt_consolidation,43000.0,13.26,MORTGAGE,3 years,0
5706,20000.0,8.99,36,B,debt_consolidation,225000.0,7.11,MORTGAGE,1 year,0
7294,18000.0,7.99,36,A,debt_consolidation,45000.0,21.23,OWN,8 years,0
9029,6000.0,7.49,36,A,debt_consolidation,64500.0,4.41,RENT,3 years,0
1538,28000.0,12.69,36,C,credit_card,95000.0,10.57,OWN,10+ years,0
4009,30000.0,18.24,36,D,home_improvement,70000.0,18.28,OWN,10+ years,1
7148,3000.0,8.18,36,B,other,69800.0,15.34,MORTGAGE,6 years,0
9145,7200.0,9.63,36,A,credit_card,76668.0,11.14,RENT,10+ years,0
7516,1600.0,7.89,36,A,home_improvement,35000.0,17.8,MORTGAGE,8 years,0
10840,7000.0,8.49,36,A,credit_card,46000.0,19.83,RENT,10+ years,0
9557,7800.0,20.99,36,E,debt_consolidation,36000.0,19.27,RENT,2 years,0
9872,25000.0,23.13,60,F,debt_consolidation,60000.0,15.22,RENT,10+ years,0
5129,15000.0,10.99,60,B,debt_consolidation,66000.0,11.6,MORTGAGE,2 years,0
626,11000.0,12.59,36,C,debt_consolidation,66000.0,15.47,RENT,10+ years,0
2743,16150.0,14.47,36,C,debt_consolidation,36000.0,27.97,RENT,10+ years,0
10438,9000.0,11.99,36,B,debt_consolidation,61000.0,24.18,OWN,10+ years,0
5975,35000.0,10.99,36,B,credit_card,82000.0,16.84,OWN,10+ years,0
5494,34000.0,8.18,36,B,debt_consolidation,150000.0,10.88,MORTGAGE,10+ years,0
792,10625.0,16.2,36,C,debt_consolidation,45000.0,16.21,RENT,4 years,0
10842,10000.0,10.99,36,B,debt_consolidation,290000.0,8.99,MORTGAGE,9 years,0
727,10000.0,13.33,36,C,home_improvement,28000.0,22.97,MORTGAGE,10+ years,0
1402,12000.0,15.8,36,C,debt_consolidation,55000.0,18.72,RENT,8 years,1
4917,7200.0,9.16,36,B,debt_consolidation,40000.0,15.39,RENT,8 years,0
7969,25000.0,7.49,36,A,credit_card,93000.0,15.46,MORTGAGE,10+ years,1
3187,6475.0,21.49,36,D,credit_card,75000.0,22.42,MORTGAGE,6 years,0
1695,16000.0,15.61,36,C,debt_consolidation,47000.0,20.99,RENT,3 years,0
117,22000.0,14.99,36,C,debt_consolidation,82000.0,6.85,RENT,7 years,0
4663,28000.0,8.18,36,B,debt_consolidation,96000.0,23.71,MORTGAGE,10+ years,0
8511,15000.0,6.89,36,A,debt_consolidation,58000.0,33.77,MORTGAGE,1 year,0
6322,15000.0,11.44,60,B,debt_consolidation,80000.0,19.1,MORTGAGE,10+ years,0
9039,5000.0,7.49,36,A,debt_consolidation,98000.0,14.35,RENT,10+ years,0
3840,2000.0,18.99,36,D,home_improvement,55000.0,17.39,MORTGAGE,Unknown,1
9568,20000.0,18.55,60,E,home_improvement,59000.0,18.19,MORTGAGE,10+ years,1
1749,5000.0,12.69,36,C,debt_consolidation,43200.0,6.97,RENT,7 years,0
1006,7700.0,14.65,36,C,credit_card,27000.0,37.02,OWN,9 years,0
2688,28000.0,17.27,60,C,debt_consolidation,105000.0,33.07,RENT,< 1 year,0
10474,5000.0,9.44,36,B,credit_card,24000.0,26.1,MORTGAGE,< 1 year,0
7922,6500.0,7.89,36,A,debt_consolidation,45000.0,32.64,MORTGAGE,6 years,0
431,18200.0,15.1,60,C,debt_consolidation,111000.0,3.03,MORTGAGE,10+ years,0
7566,12000.0,7.62,36,A,debt_consolidation,80000.0,6.38,RENT,4 years,0
8542,28000.0,8.9,36,A,credit_card,107000.0,8.1,RENT,3 years,0
7468,5000.0,8.9,36,A,credit_card,70000.0,24.63,MORTGAGE,10+ years,0
8184,20000.0,8.39,60,A,credit_card,97113.0,10.95,MORTGAGE,7 years,0
4562,13000.0,10.49,36,B,car,87500.0,3.96,RENT,2 years,0
2101,25000.0,13.99,36,C,debt_consolidation,70000.0,28.58,OWN,2 years,1
2756,2500.0,15.99,36,C,other,85000.0,16.32,MORTGAGE,8 years,0
5399,24000.0,9.17,36,B,debt_consolidation,175000.0,12.39,MORTGAGE,2 years,0
3728,4500.0,17.86,36,D,debt_consolidation,10320.0,5.23,RENT,Unknown,0
8971,10000.0,5.32,36,A,debt_consolidation,68000.0,28.6,MORTGAGE,10+ years,0
4222,8400.0,18.99,36,D,debt_consolidation,32500.0,33.78,RENT,6 years,0
6838,5000.0,8.18,36,B,credit_card,28000.0,14.19,RENT,Unknown,0
5725,7000.0,11.99,36,B,debt_consolidation,45500.0,27.04,OWN,1 year,0
3507,17125.0,17.86,60,D,debt_consolidation,43000.0,17.61,RENT,< 1 year,1
3094,15800.0,16.29,60,D,debt_consolidation,42000.0,30.71,MORTGAGE,2 years,0
3599,22675.0,16.99,60,D,debt_consolidation,51604.0,26.95,OWN,9 years,1
5755,15000.0,10.99,36,B,debt_consolidation,64000.0,24.23,MORTGAGE,10+ years,0
5093,6200.0,11.55,36,B,debt_consolidation,75000.0,19.71,RENT,2 years,0
10144,12500.0,6.49,36,A,major_purchase,80000.0,1.14,RENT,10+ years,0
11031,11850.0,18.25,60,E,debt_consolidation,35000.0,21.04,RENT,1 year,1
7124,15000.0,10.49,36,B,debt_consolidation,75000.0,19.33,MORTGAGE,7 years,0
8825,12000.0,6.03,36,A,credit_card,72000.0,12.85,MORTGAGE,9 years,0
4773,13000.0,8.18,36,B,credit_card,55000.0,21.06,OWN,2 years,0
7039,5000.0,9.99,36,B,debt_consolidation,25000.0,32.31,OWN,Unknown,0
3368,3025.0,17.86,36,D,debt_consolidation,18000.0,24.6,OWN,Unknown,0
6317,10000.0,10.16,36,B,debt_consolidation,107000.0,10.87,RENT,6 years,0
6992,15000.0,9.99,36,B,debt_consolidation,93000.0,15.83,RENT,7 years,0
2312,15000.0,11.99,60,C,car,75000.0,10.96,RENT,4 years,0
1735,11000.0,13.67,60,C,credit_card,40000.0,28.86,OWN,Unknown,1
1351,1000.0,12.62,36,C,vacation,26000.0,27.1,RENT,4 years,0
8623,4000.0,6.68,36,A,credit_card,32000.0,17.03,MORTGAGE,4 years,1
5467,11000.0,8.49,36,B,debt_consolidation,45000.0,8.43,MORTGAGE,10+ years,0
2481,12000.0,14.99,60,C,debt_consolidation,106000.0,7.18,MORTGAGE,10+ years,0
4051,7000.0,17.76,36,D,credit_card,26971.36,27.99,RENT,5 years,0
8375,24000.0,8.9,36,A,debt_consolidation,70000.0,12.62,RENT,< 1 year,0
3708,24550.0,17.86,60,D,debt_consolidation,190000.0,10.38,OWN,2 years,0
6724,5000.0,10.42,36,B,debt_consolidation,61000.0,23.25,RENT,10+ years,0
3738,30000.0,18.45,36,D,debt_consolidation,106000.0,26.6,MORTGAGE,4 years,0
2490,15000.0,14.99,60,C,debt_consolidation,55000.0,11.26,MORTGAGE,10+ years,0
7266,18500.0,6.24,36,A,debt_consolidation,65000.0,16.29,MORTGAGE,4 years,0
344,10000.0,14.47,36,C,home_improvement,90000.0,16.77,MORTGAGE,5 years,0
5285,17625.0,11.14,36,B,debt_consolidation,55000.0,33.77,MORTGAGE,Unknown,0
3892,12050.0,19.99,36,D,credit_card,55500.0,33.73,MORTGAGE,10+ years,1
2917,16500.0,15.21,60,D,credit_card,40000.0,20.49,RENT,< 1 year,1
3227,5000.0,15.41,36,D,debt_consolidation,33000.0,23.02,MORTGAGE,4 years,0
8955,27000.0,5.32,36,A,credit_card,100000.0,8.4,MORTGAGE,3 years,0
4669,10000.0,8.39,36,B,other,42000.0,14.06,RENT,Unknown,0
702,15000.0,11.99,36,C,debt_consolidation,62400.0,15.72,MORTGAGE,6 years,0
5597,21500.0,12.12,36,B,debt_consolidation,75000.0,16.27,MORTGAGE,6 years,0
3800,20000.0,17.99,36,D,home_improvement,62400.0,25.94,RENT,< 1 year,1
4402,10000.0,10.49,36,B,credit_card,53000.0,25.54,MORTGAGE,9 years,0
7441,10000.0,7.07,36,A,debt_consolidation,57000.0,4.27,RENT,10+ years,0
7396,13000.0,7.62,36,A,debt_consolidation,80000.0,5.51,MORTGAGE,10+ years,0
635,7000.0,13.47,36,C,car,92000.0,4.73,MORTGAGE,10+ years,0
8787,22000.0,7.97,36,A,credit_card,125000.0,14.37,MORTGAGE,9 years,1
10950,12000.0,5.79,36,A,other,30000.0,23.52,RENT,5 years,0
810,3000.0,15.99,36,C,other,35000.0,17.56,RENT,6 years,0
1650,5000.0,12.29,36,C,debt_consolidation,40000.0,28.71,OWN,10+ years,0
6706,21000.0,10.99,36,B,credit_card,101400.0,14.75,MORTGAGE,7 years,0
4301,35000.0,15.41,60,D,debt_consolidation,185000.0,7.12,RENT,3 years,0
3179,16250.0,20.2,36,D,debt_consolidation,55000.0,12.74,MORTGAGE,< 1 year,0
10455,2500.0,12.99,36,B,credit_card,57000.0,17.07,OWN,Unknown,0
5666,5000.0,11.53,36,B,home_improvement,90000.0,20.1,MORTGAGE,10+ years,0
10164,18475.0,26.99,60,F,debt_consolidation,42000.0,23.69,RENT,< 1 year,1
4828,10000.0,9.17,36,B,debt_consolidation,77000.0,5.97,RENT,9 years,0
4070,7000.0,18.75,36,D,debt_consolidation,120000.0,9.25,RENT,3 years,0
5004,10000.0,9.49,36,B,debt_consolidation,60000.0,12.86,MORTGAGE,6 years,0
9574,25150.0,18.54,36,E,debt_consolidation,70000.0,16.46,RENT,10+ years,0
9097,25000.0,6.49,36,A,credit_card,174000.0,10.24,RENT,10+ years,0
10349,16000.0,19.99,60,E,debt_consolidation,44400.0,21.76,RENT,10+ years,0
809,24250.0,16.2,60,C,debt_consolidation,55000.0,21.91,MORTGAGE,10+ years,0
2653,12000.0,13.67,60,C,debt_consolidation,70042.0,32.42,MORTGAGE,10+ years,0
5240,30000.0,9.67,36,B,debt_consolidation,95000.0,16.08,MORTGAGE,4 years,0
9436,29525.0,20.75,60,E,debt_consolidation,72000.0,23.28,OWN,Unknown,0
4349,17325.0,12.99,36,B,home_improvement,170000.0,15.29,MORTGAGE,4 years,0
9343,10475.0,26.24,60,E,debt_consolidation,32000.0,29.44,OWN,1 year,1
1533,19200.0,12.69,60,C,debt_consolidation,120000.0,21.31,MORTGAGE,10+ years,0
4129,16425.0,15.59,36,D,debt_consolidation,55000.0,21.51,OWN,10+ years,1
2629,20000.0,13.79,36,C,debt_consolidation,103000.0,19.76,RENT,< 1 year,0
5176,34000.0,11.53,36,B,debt_consolidation,90325.0,29.31,MORTGAGE,9 years,0
7311,13000.0,6.49,36,A,credit_card,34000.0,28.06,RENT,4 years,0
2357,10000.0,15.31,60,C,debt_consolidation,29000.0,11.96,MORTGAGE,10+ years,0
9210,12000.0,23.32,60,E,home_improvement,85000.0,12.41,OWN,4 years,0
2808,27450.0,13.33,36,C,credit_card,85000.0,19.51,OWN,2 years,0
4160,10075.0,17.27,60,D,debt_consolidation,28000.0,25.33,RENT,Unknown,1
6554,15000.0,12.69,60,B,home_improvement,42000.0,24.17,MORTGAGE,2 years,0
7483,10000.0,7.97,36,A,major_purchase,83000.0,0.36,OWN,8 years,0
1043,13000.0,14.31,36,C,debt_consolidation,63000.0,7.79,MORTGAGE,2 years,0
3327,18950.0,18.06,60,D,debt_consolidation,99812.0,24.34,MORTGAGE,7 years,1
